hissekodu,Symbol,symbol
DOHOL,DOHOL.IS,DOHOL.IS
DOKTA,DOKTA.IS,DOKTA.IS
DSTKF,DSTKF.IS,DSTKF.IS
DURDO,DURDO.IS,DURDO.IS
DURKN,DURKN.IS,DURKN.IS
DYOBY,DYOBY.IS,DYOBY.IS
DZGYO,DZGYO.IS,DZGYO.IS
EBEBK,EBEBK.IS,EBEBK.IS
ECILC,ECILC.IS,ECILC.IS
ECZYT,ECZYT.IS,ECZYT.IS
EDATA,EDATA.IS,EDATA.IS
EDIP,EDIP.IS,EDIP.IS
EFORC,EFORC.IS,EFORC.IS
EGEEN,EGEEN.IS,EGEEN.IS
EGEGY,EGEGY.IS,EGEGY.IS
EGEPO,EGEPO.IS,EGEPO.IS
EGGUB,EGGUB.IS,EGGUB.IS
EGPRO,EGPRO.IS,EGPRO.IS
EGSER,EGSER.IS,EGSER.IS
EKGYO,EKGYO.IS,EKGYO.IS
EKOS,EKOS.IS,EKOS.IS
EKSUN,EKSUN.IS,EKSUN.IS
ELITE,ELITE.IS,ELITE.IS
EMKEL,EMKEL.IS,EMKEL.IS
ENDAE,ENDAE.IS,ENDAE.IS
ENERY,ENERY.IS,ENERY.IS
ENJSA,ENJSA.IS,ENJSA.IS
ENKAI,ENKAI.IS,ENKAI.IS
ENSRI,ENSRI.IS,ENSRI.IS
ENTRA,ENTRA.IS,ENTRA.IS
EPLAS,EPLAS.IS,EPLAS.IS
ERBOS,ERBOS.IS,ERBOS.IS
ERCB,ERCB.IS,ERCB.IS
EREGL,EREGL.IS,EREGL.IS
ERSU,ERSU.IS,ERSU.IS
ESCAR,ESCAR.IS,ESCAR.IS
ESCOM,ESCOM.IS,ESCOM.IS
ESEN,ESEN.IS,ESEN.IS
ETILR,ETILR.IS,ETILR.IS
ETYAT,ETYAT.IS,ETYAT.IS
EUKYO,EUKYO.IS,EUKYO.IS
EUPWR,EUPWR.IS,EUPWR.IS
EUREN,EUREN.IS,EUREN.IS
EUYO,EUYO.IS,EUYO.IS
EYGYO,EYGYO.IS,EYGYO.IS
FADE,FADE.IS,FADE.IS
FENER,FENER.IS,FENER.IS
FLAP,FLAP.IS,FLAP.IS
FMIZP,FMIZP.IS,FMIZP.IS
FONET,FONET.IS,FONET.IS
FORMT,FORMT.IS,FORMT.IS
FORTE,FORTE.IS,FORTE.IS
FRIGO,FRIGO.IS,FRIGO.IS
FROTO,FROTO.IS,FROTO.IS
FZLGY,FZLGY.IS,FZLGY.IS
GARAN,GARAN.IS,GARAN.IS
GARFA,GARFA.IS,GARFA.IS
GEDIK,GEDIK.IS,GEDIK.IS
GEDZA,GEDZA.IS,GEDZA.IS
GENIL,GENIL.IS,GENIL.IS
GENTS,GENTS.IS,GENTS.IS
GEREL,GEREL.IS,GEREL.IS
GESAN,GESAN.IS,GESAN.IS
GIPTA,GIPTA.IS,GIPTA.IS
GLBMD,GLBMD.IS,GLBMD.IS
GLCVY,GLCVY.IS,GLCVY.IS
GLRMK,GLRMK.IS,GLRMK.IS
GLRYH,GLRYH.IS,GLRYH.IS
GLYHO,GLYHO.IS,GLYHO.IS
GMTAS,GMTAS.IS,GMTAS.IS
GOKNR,GOKNR.IS,GOKNR.IS
GOLTS,GOLTS.IS,GOLTS.IS
GOODY,GOODY.IS,GOODY.IS
GOZDE,GOZDE.IS,GOZDE.IS
GRNYO,GRNYO.IS,GRNYO.IS
GRSEL,GRSEL.IS,GRSEL.IS
GRTHO,GRTHO.IS,GRTHO.IS
GSDDE,GSDDE.IS,GSDDE.IS
GSDHO,GSDHO.IS,GSDHO.IS
GSRAY,GSRAY.IS,GSRAY.IS
GUBRF,GUBRF.IS,GUBRF.IS
GUNDG,GUNDG.IS,GUNDG.IS
GWIND,GWIND.IS,GWIND.IS
GZNMI,GZNMI.IS,GZNMI.IS
HALKB,HALKB.IS,HALKB.IS
HATEK,HATEK.IS,HATEK.IS
HATSN,HATSN.IS,HATSN.IS
HDFGS,HDFGS.IS,HDFGS.IS
HEDEF,HEDEF.IS,HEDEF.IS
HEKTS,HEKTS.IS,HEKTS.IS
HKTM,HKTM.IS,HKTM.IS
HLGYO,HLGYO.IS,HLGYO.IS
HOROZ,HOROZ.IS,HOROZ.IS
HRKET,HRKET.IS,HRKET.IS
HTTBT,HTTBT.IS,HTTBT.IS
HUBVC,HUBVC.IS,HUBVC.IS
HUNER,HUNER.IS,HUNER.IS
HURGZ,HURGZ.IS,HURGZ.IS
ICBCT,ICBCT.IS,ICBCT.IS
ICUGS,ICUGS.IS,ICUGS.IS
IDGYO,IDGYO.IS,IDGYO.IS
IEYHO,IEYHO.IS,IEYHO.IS
IHAAS,IHAAS.IS,IHAAS.IS
IHEVA,IHEVA.IS,IHEVA.IS
IHGZT,IHGZT.IS,IHGZT.IS
IHLAS,IHLAS.IS,IHLAS.IS
IHLGM,IHLGM.IS,IHLGM.IS
IHYAY,IHYAY.IS,IHYAY.IS
IMASM,IMASM.IS,IMASM.IS
INDES,INDES.IS,INDES.IS
INFO,INFO.IS,INFO.IS
INGRM,INGRM.IS,INGRM.IS
INTEK,INTEK.IS,INTEK.IS
INTEM,INTEM.IS,INTEM.IS
INVEO,INVEO.IS,INVEO.IS
INVES,INVES.IS,INVES.IS
IPEKE,IPEKE.IS,IPEKE.IS
ISATR,ISATR.IS,ISATR.IS
ISBIR,ISBIR.IS,ISBIR.IS
ISBTR,ISBTR.IS,ISBTR.IS
ISCTR,ISCTR.IS,ISCTR.IS
ISDMR,ISDMR.IS,ISDMR.IS
ISFIN,ISFIN.IS,ISFIN.IS
ISGSY,ISGSY.IS,ISGSY.IS
ISGYO,ISGYO.IS,ISGYO.IS
ISKPL,ISKPL.IS,ISKPL.IS
ISMEN,ISMEN.IS,ISMEN.IS
ISSEN,ISSEN.IS,ISSEN.IS
ISYAT,ISYAT.IS,ISYAT.IS
IZENR,IZENR.IS,IZENR.IS
IZFAS,IZFAS.IS,IZFAS.IS
IZINV,IZINV.IS,IZINV.IS
IZMDC,IZMDC.IS,IZMDC.IS
JANTS,JANTS.IS,JANTS.IS
KAPLM,KAPLM.IS,KAPLM.IS
KAREL,KAREL.IS,KAREL.IS
KARSN,KARSN.IS,KARSN.IS
KARTN,KARTN.IS,KARTN.IS
KATMR,KATMR.IS,KATMR.IS
KAYSE,KAYSE.IS,KAYSE.IS
KBORU,KBORU.IS,KBORU.IS
KCAER,KCAER.IS,KCAER.IS
KCHOL,KCHOL.IS,KCHOL.IS
KENT,KENT.IS,KENT.IS
KFEIN,KFEIN.IS,KFEIN.IS
KGYO,KGYO.IS,KGYO.IS
KIMMR,KIMMR.IS,KIMMR.IS
KLGYO,KLGYO.IS,KLGYO.IS
KLKIM,KLKIM.IS,KLKIM.IS
KLMSN,KLMSN.IS,KLMSN.IS
KLNMA,KLNMA.IS,KLNMA.IS
KLRHO,KLRHO.IS,KLRHO.IS
KLSER,KLSER.IS,KLSER.IS
KLSYN,KLSYN.IS,KLSYN.IS
KLYPV,KLYPV.IS,KLYPV.IS
KMPUR,KMPUR.IS,KMPUR.IS
KNFRT,KNFRT.IS,KNFRT.IS
KOCMT,KOCMT.IS,KOCMT.IS
KONKA,KONKA.IS,KONKA.IS
KONTR,KONTR.IS,KONTR.IS
KONYA,KONYA.IS,KONYA.IS
KOPOL,KOPOL.IS,KOPOL.IS
KORDS,KORDS.IS,KORDS.IS
KOTON,KOTON.IS,KOTON.IS
KOZAA,KOZAA.IS,KOZAA.IS
KOZAL,KOZAL.IS,KOZAL.IS
KRDMA,KRDMA.IS,KRDMA.IS
KRDMB,KRDMB.IS,KRDMB.IS
KRDMD,KRDMD.IS,KRDMD.IS
KRGYO,KRGYO.IS,KRGYO.IS
KRONT,KRONT.IS,KRONT.IS
KRPLS,KRPLS.IS,KRPLS.IS
KRSTL,KRSTL.IS,KRSTL.IS
KRTEK,KRTEK.IS,KRTEK.IS
